StudentID,Age,Gender,School_Type,Socioeconomic_Status,Mathematics_Score,Science_Score,Language_Arts_Score,Social_Studies_Score,Mathematics_Improvement,Science_Improvement,Language_Arts_Improvement,Social_Studies_Improvement,Logical_Reasoning,Critical_Thinking,Analytical_Ability,Creativity,Communication,Emotional_Intelligence,Social_Skills,Leadership,Sports_Participation,Sports_Involvement,Arts_Participation,Arts_Involvement,Music_Participation,Music_Involvement,Science_Club_Participation,Science_Club_Involvement,Debate_Participation,Debate_Involvement,Community_Service_Participation,Community_Service_Involvement,Learning_Style,STEM_Score,Business_Finance_Score,Arts_Media_Score,Healthcare_Score,Education_Score,Social_Services_Score,Trades_Manufacturing_Score,Government_Law_Score,Primary_Career_Recommendation,Secondary_Career_Recommendations,Recommendation_Confidence
STU0001,0.6000000000000001,Male,Public,Middle,0.5176470588235293,0.5568181818181818,0.5783132530120483,0.7835051546391754,0.4,0.28,0.39999999999999997,0.32,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.6666666666666667,0.8888888888888888,0.2222222222222222,0.1111111111111111,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kinesthetic,0.27968076629999994,0.3087891356,0.6619150186,0.23827044080000004,0.5688808182,0.27024171610000003,0.6645513081999999,0.31456639500000005,Trades_Manufacturing,"['Arts_Media', 'Education']",0.006029736246775663
STU0002,0.8,Female,Public,Low,0.25882352941176473,0.6022727272727272,0.602409638554217,0.9484536082474226,0.52,0.6400000000000001,0.7599999999999999,0.44,0.8888888888888888,0.3333333333333333,0.2222222222222222,1.0,0.33333333333333337,0.6666666666666666,0.5555555555555556,0.7777777777777779,0.0,0.0,1.0,0.7999999999999998,0.0,0.0,1.0,0.5999999999999999,0.0,0.0,1.0,0.4,Auditory,0.39344810109999995,0.44496187249999997,0.5477465390999999,0.45133277780000003,0.402701281,0.6320373341000001,0.5237100061000001,0.6810332904,Government_Law,"['Social_Services', 'Arts_Media']",0.11262542819187965
STU0003,0.4,Female,Private,Middle,0.7294117647058823,0.5113636363636362,0.530120481927711,0.731958762886598,0.4,0.44000000000000006,0.48,0.52,0.5555555555555556,0.8888888888888888,0.888888888888889,0.33333333333333337,1.0,0.0,0.1111111111111111,0.6666666666666667,0.0,0.0,1.0,0.19999999999999998,1.0000000000000002,0.7999999999999998,0.0,0.0,0.0,0.0,1.0,1.0,Auditory,0.5308021911,0.6789106182,0.5276091931,0.5591023802,0.559103833,0.28610689610000006,0.49680218600000003,0.41769150009999995,Business_Finance,"['Education', 'Healthcare']",0.275442157496437
STU0004,0.8,Male,Private,Low,0.8117647058823529,0.7272727272727272,0.566265060240964,0.5876288659793815,0.44,0.44000000000000006,0.44,0.08000000000000002,0.4444444444444444,0.0,0.2222222222222222,0.22222222222222227,0.5555555555555556,0.5555555555555555,0.2222222222222222,0.22222222222222227,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6000000000000001,Auditory,0.40796551049999996,0.2404635884,0.3293986077,0.4161599248,0.2885602426,0.3781162038000001,0.3901881185,0.3128297967,Healthcare,"['STEM', 'Trades_Manufacturing']",0.018809641685261697
STU0005,0.8,Female,Public,High,0.7176470588235294,0.8522727272727272,0.5421686746987953,0.5154639175257733,0.08000000000000007,0.32000000000000006,0.6,1.0,0.7777777777777778,1.0,0.6666666666666667,0.22222222222222227,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.0,0.0,0.0,1.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,Auditory,0.6470390639,0.3431337819,0.4337461315,0.8392478157000001,0.5571916909000001,0.5587587314000001,0.40292862949999997,0.23527272729999998,Healthcare,"['STEM', 'Social_Services']",0.441917420887056
STU0006,0.2,Male,Public,Middle,0.5294117647058824,0.8863636363636362,0.4578313253012049,0.8556701030927836,0.6399999999999999,0.4,0.6799999999999999,0.4,0.0,0.7777777777777778,0.2222222222222222,0.22222222222222227,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,1.0,0.7999999999999998,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,Visual,0.13675158309999996,0.2338850793,0.2898710551,0.724604585,0.4470066437,0.3966795097000001,0.2060947468,0.49695177119999995,Healthcare,"['Government_Law', 'Education']",0.523414648575391
STU0007,0.4,Male,Public,Middle,0.43529411764705883,0.5909090909090908,0.7831325301204821,0.7422680412371134,0.12000000000000005,0.28,0.44,0.32,0.6666666666666667,0.1111111111111111,0.5555555555555556,1.0,0.22222222222222227,0.6666666666666666,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,0.2,Visual,0.49676422309999996,0.6294849091999999,0.4923889897,0.4950268772,0.3044613184,0.39758953410000003,0.6021109378,0.8177767063000001,Government_Law,"['Business_Finance', 'Trades_Manufacturing']",0.4329110900373132
STU0008,0.4,Female,Private,Low,0.7294117647058823,0.7045454545454545,0.602409638554217,0.9484536082474226,0.2,0.6400000000000001,0.39999999999999997,0.28,0.7777777777777778,0.0,0.888888888888889,0.4444444444444445,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3999999999999999,1.0,0.4,0.0,0.0,Visual,0.8238630838,0.2825051424,0.48184524559999997,0.39366236010000005,0.5775907107,0.5071955938000001,0.6300526639,0.5797040725,STEM,"['Trades_Manufacturing', 'Government_Law']",0.4456001677975777
STU0009,0.4,Male,Private,Middle,0.6705882352941176,0.7272727272727272,0.6746987951807231,0.37113402061855677,0.28,0.6800000000000002,0.040000000000000036,0.52,0.8888888888888888,1.0,0.5555555555555556,0.5555555555555556,0.22222222222222227,0.7777777777777777,0.0,0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Auditory,0.6053125286000001,0.612961152,0.396530499,0.7641371935,0.19992420039999997,0.4352386193000001,0.459187518,0.41216579189999997,Healthcare,"['Business_Finance', 'STEM']",0.34757010443138026
STU0010,0.8,Other,Public,Low,0.6235294117647059,0.7613636363636364,0.6626506024096387,0.8247422680412372,0.44,0.8,0.48,0.52,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.33333333333333337,0.8888888888888888,0.4444444444444444,1.0,0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Visual,0.5263783859,0.35548542240000003,0.41557049199999996,0.6432779358,0.8548274691000002,0.685797685,0.3340814332,0.2389371153,Education,"['Social_Services', 'Healthcare']",0.38862156557347083
STU0011,0.6000000000000001,Female,Private,Middle,0.9647058823529411,0.5,0.63855421686747,0.6494845360824743,0.16000000000000003,0.56,0.39999999999999997,0.28,0.7777777777777778,0.3333333333333333,0.4444444444444444,1.0,0.11111111111111116,0.33333333333333326,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7999999999999998,0.0,0.0,0.0,0.0,Auditory,0.5879827592,0.42638202179999996,0.40887374499999996,0.37832600419999995,0.35145460129999995,0.45253012260000003,0.8879704427,0.46072249210000005,Trades_Manufacturing,"['STEM', 'Government_Law']",0.6897356347464156
STU0012,0.4,Male,Public,High,0.47058823529411764,0.9659090909090908,0.6506024096385543,0.6288659793814434,0.28,0.4,0.28,0.24,1.0,0.1111111111111111,0.7777777777777779,0.0,0.7777777777777778,0.0,0.4444444444444444,0.5555555555555556,1.0,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.3999999999999999,1.0,0.8,0.0,0.0,Kinesthetic,0.8675185799,0.46685113069999995,0.3745951941,0.2584117379,0.6766926778,0.3249326685,0.4449894874,0.6168068613,STEM,"['Education', 'Government_Law']",0.43873780742007673
STU0013,1.0,Male,Public,Middle,0.9529411764705882,0.8068181818181818,0.5783132530120483,0.5670103092783506,0.6799999999999999,0.4,0.39999999999999997,0.6799999999999999,0.2222222222222222,0.3333333333333333,0.7777777777777779,0.6666666666666667,0.5555555555555556,0.7777777777777777,0.1111111111111111,0.5555555555555556,0.0,0.0,1.0,0.19999999999999998,0.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,Reading/Writing,0.5511371104,0.4358629838,0.592335992,0.6926677129,0.4574176186,0.49706652470000007,0.6341547882999999,0.46518060980000003,Healthcare,"['Trades_Manufacturing', 'Arts_Media']",0.1345079804043659
STU0014,0.8,Male,Public,Middle,0.6470588235294117,0.8181818181818181,0.8915662650602412,0.8247422680412372,0.44,0.56,0.39999999999999997,0.36,0.5555555555555556,1.0,0.6666666666666667,0.6666666666666667,0.8888888888888888,0.5555555555555555,0.8888888888888888,0.22222222222222227,0.0,0.0,0.0,0.0,1.0000000000000002,0.5999999999999999,0.0,0.0,0.0,0.0,1.0,0.8,Visual,0.6253759966,0.49338210379999997,0.7264204571,0.7932952427,0.8774853486000002,0.6494171876000001,0.45881534469999996,0.35787822329999996,Education,"['Healthcare', 'Arts_Media']",0.19354802750691824
STU0015,0.2,Male,Public,Middle,0.3176470588235294,0.8636363636363635,0.7710843373493977,0.7835051546391754,0.5599999999999999,0.5200000000000001,0.48,0.16000000000000003,0.4444444444444444,0.1111111111111111,0.4444444444444444,1.0,0.4444444444444444,0.0,0.5555555555555556,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reading/Writing,0.444729228,0.4789554591,0.6680996100999999,0.3206080012000001,0.5703707818000001,0.5288236527000001,0.6365838979,0.6778531989,Government_Law,"['Arts_Media', 'Trades_Manufacturing']",0.022394682134983745
STU0016,0.6000000000000001,Male,Public,High,0.6117647058823529,0.75,0.63855421686747,0.5051546391752578,0.24000000000000002,0.44000000000000006,0.39999999999999997,0.44,0.2222222222222222,0.3333333333333333,0.888888888888889,0.0,0.33333333333333337,0.4444444444444444,0.6666666666666666,0.11111111111111116,1.0,1.0,0.0,0.0,1.0000000000000002,0.19999999999999996,1.0,0.5999999999999999,0.0,0.0,1.0,0.4,Kinesthetic,0.6176833788,0.2713641406,0.2637403111,0.4389028039,0.5323221100000001,0.5238194802000001,0.4024927967,0.19218017660000003,STEM,"['Education', 'Social_Services']",0.19624090524329532
STU0017,1.0,Male,Public,High,0.8117647058823529,0.47727272727272724,0.5542168674698796,0.711340206185567,0.44,0.4,0.5599999999999999,0.4,0.11111111111111105,0.1111111111111111,0.0,0.22222222222222227,0.11111111111111116,0.9999999999999999,0.8888888888888888,0.11111111111111116,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.5999999999999999,1.0,0.6000000000000001,0.0,0.0,Kinesthetic,0.2136804724,0.27163215279999997,0.28033900349999996,0.5594639172,0.5298331088,0.7558309564000001,0.6664125851999999,0.6193110903,Social_Services,"['Trades_Manufacturing', 'Government_Law']",0.20556948058935826
STU0018,1.0,Male,Public,Middle,0.5764705882352941,0.625,0.6144578313253013,0.7938144329896908,0.44,0.6800000000000002,0.48,0.8400000000000001,0.11111111111111105,0.6666666666666666,0.3333333333333333,1.0,0.0,0.11111111111111116,0.7777777777777778,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3999999999999999,0.0,0.0,1.0,0.6000000000000001,Reading/Writing,0.30566472029999997,0.19438808529999996,0.576749856,0.4319010271,0.5527231667000001,0.5228148463000001,0.7398222193999999,0.21706287489999998,Trades_Manufacturing,"['Arts_Media', 'Education']",0.37492355095616137
STU0019,0.2,Female,Public,Middle,0.3764705882352941,0.37499999999999994,0.7108433734939761,0.711340206185567,0.36,0.4,0.72,0.4,1.0,0.2222222222222222,1.0,0.5555555555555556,0.33333333333333337,0.5555555555555555,0.7777777777777778,0.5555555555555556,0.0,0.0,0.0,0.0,1.0000000000000002,0.7999999999999998,0.0,0.0,1.0,0.4,0.0,0.0,Reading/Writing,0.6983738696,0.32463040079999994,0.35629510909999995,0.3028876111,0.4331832654000001,0.3967136426,0.46525748999999994,0.5680280583999999,STEM,"['Government_Law', 'Trades_Manufacturing']",0.29967474690831886
STU0020,0.6000000000000001,Female,Public,Middle,0.6117647058823529,0.7272727272727272,0.9036144578313254,0.8556701030927836,0.44,0.7200000000000001,0.39999999999999997,0.4,1.0,0.6666666666666666,0.6666666666666667,0.33333333333333337,0.7777777777777778,0.0,0.2222222222222222,0.7777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6000000000000001,Kinesthetic,0.7523746298,0.4930512482,0.5587506257999999,0.4578727581,0.4774758624,0.36847181230000003,0.5528413245,0.6348825112,STEM,"['Government_Law', 'Arts_Media']",0.27011999913538964
STU0021,0.8,Female,Public,Low,0.49411764705882355,0.625,0.38554216867469887,0.6391752577319588,0.12000000000000005,0.4800000000000001,0.7999999999999999,0.52,1.0,0.1111111111111111,0.4444444444444444,0.4444444444444445,1.0,0.33333333333333326,0.7777777777777778,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reading/Writing,0.40892876129999994,0.32335817759999996,0.525816678,0.4375836432,0.758026302,0.45043873600000006,0.34041754609999997,0.3588021399,Education,"['Arts_Media', 'Social_Services']",0.5338922117396222
STU0022,0.0,Male,Public,Middle,0.7294117647058823,0.6477272727272727,0.7469879518072291,0.3402061855670103,0.5599999999999999,0.4,0.6799999999999999,0.4,0.33333333333333326,0.3333333333333333,0.3333333333333333,0.888888888888889,0.8888888888888888,0.2222222222222222,0.3333333333333333,0.33333333333333337,1.0,0.6,0.0,0.0,0.0,0.0,1.0,0.7999999999999998,0.0,0.0,0.0,0.0,Visual,0.3656427946,0.2911521504,0.7273687458,0.39375392820000005,0.5907975272000001,0.19369337070000003,0.5884913225999999,0.2843615931,Arts_Media,"['Education', 'Trades_Manufacturing']",0.3139889483768313
STU0023,0.6000000000000001,Male,Public,Middle,0.776470588235294,0.8636363636363635,0.8313253012048194,0.711340206185567,0.4,0.36000000000000004,0.7599999999999999,0.56,0.8888888888888888,0.6666666666666666,0.4444444444444444,1.0,0.0,0.5555555555555555,0.6666666666666666,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Visual,0.5378836708,0.4747785683,0.5248933062,0.737424487,0.360274867,0.5215785984000001,0.7071783562999999,0.5496665573,Healthcare,"['Trades_Manufacturing', 'Government_Law']",0.06951358615851136
